anio,source_file,entity_name,entity_normalized_name
2023,seguros-en-cifra-2023.xlsx,INTERESES PAGADOS A RETROCESIONARIOS,intereses pagados a retrocesionarios
2023,seguros-en-cifra-2023.xlsx,GASTOS DE ADMINISTRACION,gastos de administracion
2023,seguros-en-cifra-2023.xlsx,RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICADO,reservas para siniestros ocurridos y no notificado
2023,seguros-en-cifra-2023.xlsx,RESERVAS PARA RIESGOS CATRASTROFICOS,reservas para riesgos catrastroficos
2023,seguros-en-cifra-2023.xlsx,Egresos Financieros,egresos financieros
2023,seguros-en-cifra-2023.xlsx,Ajuste de Valores y Otros Activos,ajuste de valores y otros activos
2023,seguros-en-cifra-2023.xlsx,Pérdidas en Activos,perdidas en activos
2023,seguros-en-cifra-2023.xlsx,Gastos de Inmuebles,gastos de inmuebles
2023,seguros-en-cifra-2023.xlsx,Ajustes de Reservas de Previsión,ajustes de reservas de prevision
2023,seguros-en-cifra-2023.xlsx,Otros Egresos,otros egresos
2023,seguros-en-cifra-2023.xlsx,INDICADORES FINANCIEROS AÑOS 2023,indicadores financieros anos 2023
2023,seguros-en-cifra-2023.xlsx,"(1), (2), (3), (4), (5) Y (6) Ver Notas Finales",1 2 3 4 5 y 6 ver notas finales
2023,seguros-en-cifra-2023.xlsx,CALCULO DE SUFICIENCIA O INSUFICIENCIA DEL PATRIMONIO PROPIO NO COMPROMETIDO,calculo de suficiencia o insuficiencia del patrimonio propio no comprometido
2023,seguros-en-cifra-2023.xlsx,RESPECTO AL MARGEN DE SOLVENCIA: Periodos 30/06/2022 - 30/06/2023,respecto al margen de solvencia periodos 30 06 2022 30 06 2023
2023,seguros-en-cifra-2023.xlsx,"EMPRESAS FINANCIADORAS DE PRIMAS
O CUOTAS",empresas financiadoras de primas o cuotas
2023,seguros-en-cifra-2023.xlsx,"Asimismo,   se   puede   mencionar   que   las   referidas   empresas   registraron   una   pérdida   de
Bs.15.621(*), mientras los gastos de administración ascendieron a Bs. 50.318(*).",asimismo se puede mencionar que las referidas empresas registraron una perdida de bs 15 621 mientras los gastos de administracion ascendieron a bs 50 318
2023,seguros-en-cifra-2023.xlsx,"Empresas Financiadoras de Primas con Situación Especial
A continuación, se presenta la situación de las empresas financiadoras de primas venezolanas revocadas y suspendidas durante el año 2023.",empresas financiadoras de primas con situacion especial a continuacion se presenta la situacion de las empresas financiadoras de primas venezolanas revocadas y suspendidas durante el ano 2023
2023,seguros-en-cifra-2023.xlsx,(*) Cifras expresadas en miles de BS./ miles de USD.,cifras expresadas en miles de bs miles de usd
2023,seguros-en-cifra-2023.xlsx,EMPRESAS FINANCIADORAS DE PRIMAS AUTORIZADAS,empresas financiadoras de primas autorizadas
2023,seguros-en-cifra-2023.xlsx,"1/ No ha consignado los Estados Financieros Anuales 2023, al momento de elaborar y Publicar el Seguro en Cifras N° 56",1 no ha consignado los estados financieros anuales 2023 al momento de elaborar y publicar el seguro en cifras n 56
2023,seguros-en-cifra-2023.xlsx,EMPRESAS FINANCIADORAS DE PRIMAS,empresas financiadoras de primas
2023,seguros-en-cifra-2023.xlsx,EMPRESA,empresa
2023,seguros-en-cifra-2023.xlsx,C.A Inversora Primaban Financiadora de Primas,c a inversora primaban financiadora de primas
2023,seguros-en-cifra-2023.xlsx,"Conficrédito Financiadora de Primas, C.A.",conficredito financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas de Seguros Serfiprima, C.A",financiadora de primas de seguros serfiprima c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas Finanseg, C.A",financiadora de primas finanseg c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas Inversora Segaprima, C.A.",financiadora de primas inversora segaprima c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas Inversora Segucons, C.A.",financiadora de primas inversora segucons c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas ISC 2004, C.A.",financiadora de primas isc 2004 c a
2023,seguros-en-cifra-2023.xlsx,"Financiadora de Primas Universal, C.A",financiadora de primas universal c a
2023,seguros-en-cifra-2023.xlsx,"Finprica Financiadora de Primas, C.A.",finprica financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,"Interfin Financiadora de Primas, C.A.",interfin financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,"Inversora Catatumbo Financiadora de Primas, C.A.",inversora catatumbo financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,"Inversora Previprima Financiadora de Primas, C.A.",inversora previprima financiadora de primas c a
2023,seguros-en-cifra-2023.xlsx,Inversora Primacred 13-11  C.A  Financiadora de Primas,inversora primacred 13 11 c a financiadora de primas
2023,seguros-en-cifra-2023.xlsx,"Inversora Primavil 12, Financiadora de Prima, C.A.",inversora primavil 12 financiadora de prima c a
